FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
25984.767,116920,1,2,16,15,63,50,1,2,1,1,2,2,3,1,4,1,16,0,0,0,0,0,0,0,0,.,1000000,1,4,3,8,40,30,3,4,03,04,41,9,15452,0,NA,4000,01,2,NA,NA
6581.018,200,1,3,15,15,50,47,1,2,4,4,2,2,4,1,4,1,15,0,0,0,0,0,0,0,0,.,10000,1,6,5,5,40,40,2,2,03,02,15,9,11459,.,NA,5000,01,2,NA,NA
20208.499,117000,1,4,16,13,47,46,2,1,2,1,2,1,1,1,3,1,16,0,0,0,0,0,0,0,0,.,0,1,2,0,6,40,52,2,2,05,01,48,7,15738,0,NA,2000,01,2,NA,NA
18078.372,0,1,2,15,NA,37,.,1,NA,1,NA,2,NA,8,5,4,1,15,0,0,0,0,0,0,0,0,.,.,1,1,4,4,44,.,1,1,03,NA,06,9,25978,.,NA,.,02,2,NA,NA
20111.619,2000,1,2,14,NA,51,.,2,NA,1,NA,2,NA,9,3,4,1,14,0,0,0,0,0,0,0,0,.,.,1,2,2,4,40,.,4,2,04,NA,06,9,588,5,NA,7000,08,2,NA,NA
19907.324,942,1,2,11,NA,63,.,1,NA,1,NA,1,NA,9,3,3,1,11,0,0,0,0,0,0,0,0,.,0,2,2,0,4,.,.,7,1,NA,NA,48,7,0,.,NA,1800,01,2,NA,NA
11704.559,0,1,1,10,NA,77,.,2,NA,1,NA,1,NA,8,2,4,1,10,0,0,0,0,0,0,0,0,.,0,4,1,0,7,.,.,8,0,NA,NA,06,9,0,.,NA,.,01,2,NA,NA
24431.177,91000,1,2,13,15,37,36,1,2,1,1,2,2,3,1,1,1,15,0,0,0,0,0,0,0,0,.,15000,1,5,2,5,40,40,2,2,12,02,42,2,7261,.,NA,6000,01,2,NA,NA
42859.35,95000,2,5,12,15,51,53,1,2,1,1,2,2,1,1,3,2,15,0,0,0,0,0,0,0,0,.,.,1,2,4,4,40,40,2,2,04,03,NA,NA,9406,.,NA,.,01,2,NA,NA
17480.604,40037,1,2,12,14,64,67,2,1,1,1,2,2,1,1,2,1,14,0,0,0,0,0,0,0,0,.,477000,2,2,2,9,.,.,8,0,NA,NA,27,4,-1414,0,NA,719,01,2,NA,NA
26018.673,109000,1,3,12,12,26,44,2,1,1,1,2,2,3,1,1,1,12,0,0,0,0,0,0,0,0,.,.,1,4,3,6,40,65,2,2,01,11,25,1,14164,.,NA,.,01,2,NA,NA
16086.652,4104,1,2,12,12,59,62,2,1,1,1,2,2,1,1,4,1,12,0,0,0,0,0,0,0,0,.,.,2,2,2,10,.,.,8,0,NA,NA,08,8,-10,0,NA,1200,01,2,NA,NA
23038.803,0,1,2,12,NA,81,.,2,NA,1,NA,2,NA,8,2,1,1,12,0,0,0,0,0,0,0,0,.,.,2,1,1,4,.,.,8,0,NA,NA,36,2,-86,.,NA,.,01,2,NA,NA
